coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at
avalanche-2,AVAX,Avalanche,9.77,4213545759,26,429511122.0,10.25,9.54,0.198181,-0.6813243490817389,2.0707861951344464,9.514774483494007,431771961.1772119,144.96,-93.26282,2026-03-13 18:32:30
hedera-hashgraph,HBAR,Hedera,0.095589,4133289987,27,99043842.0,0.09975,0.093777,0.0016988,-0.8926449508126735,1.8093566274398127,-1.04006340289103,43303421565.0591,0.569229,-83.21022,2026-03-13 18:32:30
paypal-usd,PYUSD,PayPal USD,0.9993,4101619131,28,96556067.0,1.001,0.999227,-0.000850220036806126,-0.03437426924500789,-0.08500927057375512,-0.09763232253708376,4101422204.609215,1.021,-2.0558,2026-03-13 18:32:30
sui,SUI,Sui,1.0,3895808373,29,780411736.0,1.049,0.972205,0.02619565,-0.27285035894528414,2.6892219656021554,11.795512934615608,3899984688.415443,5.35,-81.29092,2026-03-13 18:32:30
zcash,ZEC,Zcash,213.59,3540678819,30,329015295.0,222.32,207.37,2.69,0.14796213353771545,1.27406570117283,3.2679923375918207,16598937.6655448,3191.93,-93.30856,2026-03-13 18:32:30
shiba-inu,SHIB,Shiba Inu,5.96e-06,3511381604,31,162526978.0,6.25e-06,5.86e-06,6.3621e-08,-0.8319821740407924,1.0792018096114013,11.572152999440632,589243712394947.5,8.616e-05,-93.08397,2026-03-13 18:32:30
the-open-network,TON,Toncoin,1.32,3241556882,32,113572557.0,1.32,1.3,0.01067475,0.37955527062436506,0.81527298018319,-0.3396254798781635,2456169273.522563,8.25,-84.02955,2026-03-13 18:32:30
crypto-com-chain,CRO,Cronos,0.076783,3152435571,33,10837482.0,0.078384,0.075294,0.00130395,-0.23224341136806015,1.7275582222163026,1.5906642526934647,41100839162.70846,0.891544,-91.37991,2026-03-13 18:32:30
world-liberty-financial,WLFI,World Liberty Financial,0.103594,2865516349,34,146382473.0,0.108868,0.100731,0.00245475,-1.1830859633501534,2.4271034398283082,4.324334064138756,27661728024.0,0.331336,-68.73456,2026-03-13 18:32:30
tether-gold,XAUT,Tether Gold,5011.74,2829404325,35,350739592.0,5096.87,5003.83,-64.56677034061704,-0.3209529279263591,-1.271924985643703,-1.9640403919630205,564598.641692,5504.62,-8.9124,2026-03-13 18:32:30
memecore,M,MemeCore,1.49,2604059062,36,9204138.0,1.51,1.43,0.02300997,0.08357153287601175,1.5677468734556685,-0.08304790520886084,1745660245.102421,2.96,-49.54237,2026-03-13 18:32:30
uniswap,UNI,Uniswap,4.03,2549330253,37,253408665.0,4.2,3.89,0.127554,-1.2109973432165035,3.2718276637338692,4.874483702334598,633561603.6037512,44.92,-91.02593,2026-03-13 18:32:30
pax-gold,PAXG,PAX Gold,5043.61,2523908911,38,427851286.0,5128.89,5038.81,-66.8285729985364,-0.33735221299693235,-1.3076883554569863,-2.0735521784438613,500365.129,5619.09,-10.19162,2026-03-13 18:32:30
polkadot,DOT,Polkadot,1.48,2466997511,39,137967602.0,1.54,1.47,-0.02201395582249921,-1.64321173928486,-1.4699793234377274,0.4935515772332916,1673554555.120947,54.98,-97.30754,2026-03-13 18:32:30
mantle,MNT,Mantle,0.715572,2341253109,40,63474317.0,0.736441,0.711512,0.00036346,-0.6749068368914022,0.0508181468010391,5.558591328634474,3277944055.53684,2.86,-74.98464,2026-03-13 18:32:30
hashnote-usyc,USYC,Circle USYC,1.12,2310904537,41,99.62,,,,,,0.053141386522680904,2064611344.873509,1.12,-0.00065,2026-03-13 18:32:30
bittensor,TAO,Bittensor,232.01,2225179146,42,345173024.0,249.2,211.13,19.2,-1.4796486840603398,9.019691278855282,32.71525167248946,9597491.0,757.6,-69.41023,2026-03-13 18:32:30
pi-network,PI,Pi Network,0.2296,2207906804,43,163646836.0,0.29691,0.227659,-0.02755753861275209,-1.4441721958360048,-10.716203955327805,16.167359661414732,9662291721.938555,2.99,-92.29384,2026-03-13 18:32:30
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,1994935410,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1994935410.230449,1.0,0.0,2026-03-13 18:32:30
okb,OKB,OKB,93.66,1965307762,45,36710384.0,96.41,92.92,-1.3626897219063068,0.3682319572873972,-1.434132440378931,-2.0189179255507916,21000000.0,228.74,-59.10815,2026-03-13 18:32:30
sky,SKY,Sky,0.080458,1854030851,46,18482872.0,0.084846,0.080278,-0.000269640059539847,-0.27002113694051216,-0.33401136493091677,11.5001093900205,23044916199.19267,0.100535,-19.95074,2026-03-13 18:32:30
global-dollar,USDG,Global Dollar,0.999945,1750428225,47,36919315.0,1.0,0.999856,-0.000137144364404929,-0.0043735707658954836,-0.0137133155071761,-0.0059594246610185754,1750418666.460603,1.65,-39.55757,2026-03-13 18:32:30
falcon-finance,USDF,Falcon USD,0.99802,1749672336,48,1358052.0,0.998776,0.996517,0.00070377,0.0813369099375273,0.07056642770239889,0.06512002049579134,1753821967.036924,1.075,-7.15503,2026-03-13 18:32:30
near,NEAR,NEAR Protocol,1.34,1733347821,49,347714548.0,1.42,1.33,0.00793257,-1.1183125865112153,0.5936951918973129,8.771197951965142,1290082215.0,20.44,-93.41275,2026-03-13 18:32:30
aster-2,ASTER,Aster,0.703095,1726703222,50,167559216.0,0.724616,0.700039,-0.00366793036400026,0.053253636025721196,-0.5189758942954615,1.6613875365605995,2455859719.12999,2.41,-70.81061,2026-03-13 18:32:30
