coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at
bitcoin,BTC,Bitcoin,71745.0,1435733061818,1,22494516825.0,71893.0,70417.0,1210.74,0.18930917674533262,1.7165270063146818,6.577015458497991,20002318.0,126080.0,-43.09547,2026-03-15 09:50:44
ethereum,ETH,Ethereum,2115.74,255474688563,2,8716941624.0,2120.83,2063.26,47.4,0.2178821218683119,2.291580549886655,8.002686859768936,120691908.6940581,4946.05,-57.2237,2026-03-15 09:50:44
tether,USDT,Tether,1.0,184046168890,3,36461950312.0,1.0,0.999995,6.069e-05,-0.0037948113630252535,0.006068841303214647,0.01654995294168832,184032318235.7615,1.32,-24.4134,2026-03-15 09:50:44
binancecoin,BNB,BNB,663.28,90472851284,4,551015057.0,665.96,650.42,11.98,-0.0044045493974847,1.839733714130044,7.004090972230221,136358048.05,1369.99,-51.58542,2026-03-15 09:50:44
ripple,XRP,XRP,1.42,86689012395,5,1250343427.0,1.42,1.39,0.02289253,0.278759872117602,1.6435039531502023,4.131540063961295,61227832454.0,3.65,-61.17235,2026-03-15 09:50:44
usd-coin,USDC,USDC,1.0,79176559538,6,2230699838.0,1.0,0.999898,7.877e-05,0.009983943227339188,0.007877172464276607,0.006956794299766594,79176580844.76965,1.043,-4.17239,2026-03-15 09:50:44
solana,SOL,Solana,88.53,50593707390,7,1876277266.0,88.77,86.63,1.55,0.14577130715814143,1.7842418695626436,6.789423527703361,571356474.1328514,293.31,-69.81576,2026-03-15 09:50:44
tron,TRX,TRON,0.297132,28155079777,8,442224278.0,0.298837,0.293694,0.00327557,0.07343661985331168,1.1146806417673143,3.7071103846928772,94748369563.817,0.431288,-31.10584,2026-03-15 09:50:44
figure-heloc,FIGR_HELOC,Figure Heloc,1.003,15894484690,9,8050374.0,1.022,1.003,-0.019611899999999904,,-1.9182769927069405,-2.04745658207541,15850757205.897,1.049,-4.41894,2026-03-15 09:50:44
dogecoin,DOGE,Dogecoin,0.096326,14780569108,10,761235651.0,0.097094,0.094151,0.00187033,0.07196109891406365,1.9801198950089447,7.917767667929422,153416556383.7052,0.731578,-86.83313,2026-03-15 09:50:44
whitebit,WBT,WhiteBIT Coin,55.93,11937852359,11,21301160.0,56.01,55.09,0.736175,0.2686849211064483,1.3336949051973155,3.9172539607767987,213418274.0,64.11,-12.69746,2026-03-15 09:50:44
usds,USDS,USDS,0.999893,11261850780,12,12671453.0,1.001,0.999373,-3.8716188706212e-05,-0.00648167895905594,-0.003871884419411987,-0.007862112286625755,11262721313.94858,1.057,-5.43445,2026-03-15 09:50:44
