coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at
bitcoin,BTC,Bitcoin,72418.0,1447932934374,1,50176834017.0,72535.0,69460.0,2042.9,0.037952824671638546,2.9029009521221174,3.164380956399123,20001587.0,126080.0,-42.56221,2026-03-13 12:15:54
ethereum,ETH,Ethereum,2132.37,257150229802,2,24800371434.0,2144.45,2041.7,72.52,0.28925735885602777,3.520886298123025,3.9878089680562145,120691953.6332311,4946.05,-56.88743,2026-03-13 12:15:54
tether,USDT,Tether,1.0,184006558667,3,83202097817.0,1.0,0.999899,1.98e-06,-0.0026296872471748174,0.00019797326434332403,0.010438259956407027,183990520696.0076,1.32,-24.41013,2026-03-13 12:15:54
binancecoin,BNB,BNB,668.94,91155742194,4,1195424764.0,668.74,646.73,16.69,0.28988891163668884,2.559604666575217,4.93791742763384,136358136.32,1369.99,-51.17185,2026-03-13 12:15:54
ripple,XRP,XRP,1.42,87178512689,5,2910054523.0,1.44,1.37,0.03571905,-0.3039731260013119,2.5730135565186605,1.4956647361798179,61227832454.0,3.65,-60.94926,2026-03-13 12:15:54
usd-coin,USDC,USDC,0.999905,78847387384,6,6230843220.0,1.0,0.99982,-9.8920190988894e-05,-0.00027861367193010784,-0.009891980074369089,0.0003596931529013052,78854831795.91411,1.043,-4.17466,2026-03-13 12:15:54
solana,SOL,Solana,90.49,51704796425,7,4784893409.0,90.57,85.5,3.62,0.3394320452041721,4.172205512582371,3.7472199569471614,571236725.0562832,293.31,-69.14769,2026-03-13 12:15:54
tron,TRX,TRON,0.288802,27364101224,8,371493540.0,0.290377,0.288669,-0.000224545697267042,0.04607860589194651,-0.07769026501120264,0.6554805197728903,94747537991.6983,0.431288,-33.03731,2026-03-13 12:15:54
figure-heloc,FIGR_HELOC,Figure Heloc,1.008,15924422768,9,1014023556.0,1.034,1.002,-0.018682700000000052,,-1.8194800953978825,-2.5698273702570913,15795960539.747,1.049,-3.90671,2026-03-13 12:15:54
dogecoin,DOGE,Dogecoin,0.09984,15337288112,10,1550679196.0,0.100356,0.093579,0.0048789,0.20231496442015912,5.1378056370878165,7.2692467984655975,153385816383.7052,0.731578,-86.35284,2026-03-13 12:15:54
whitebit,WBT,WhiteBIT Coin,56.62,12081166000,11,63361832.0,56.7,54.75,1.16,0.07325066766695501,2.090130590367444,0.5360538651396415,213418274.0,64.11,-11.81002,2026-03-13 12:15:54
usds,USDS,USDS,0.999996,11296367707,12,9624748.0,1.0,0.995151,-3.02499517102e-07,-0.00325746170913214,-3.02500629060348e-05,0.008830808829117555,11296289301.75372,1.057,-5.43638,2026-03-13 12:15:54
cardano,ADA,Cardano,0.275173,10135754901,13,526668163.0,0.275369,0.259001,0.0132784,0.2428293463459108,5.070121460935075,2.7365110833838653,36833527390.06435,3.09,-91.0858,2026-03-13 12:15:54
bitcoin-cash,BCH,Bitcoin Cash,470.26,9409546771,14,276518059.0,470.83,453.5,12.24,-0.09659829008091954,2.6723008553806595,3.631238007739589,20006681.14665078,3785.82,-87.57842,2026-03-13 12:15:54
hyperliquid,HYPE,Hyperliquid,37.3,8891017471,15,388061578.0,38.37,36.92,-0.042407753405704796,0.5726434259518902,-0.11355353225890642,22.795689609579703,238385315.9541414,59.3,-37.09722,2026-03-13 12:15:54
leo-token,LEO,LEO Token,9.08,8361139782,16,1283085.0,9.1,8.92,0.00306282,0.13052555619084663,0.03375440513611273,0.27081500382235923,921134330.9,10.14,-10.42774,2026-03-13 12:15:54
monero,XMR,Monero,359.2,6623418395,17,75445394.0,360.43,349.63,5.96,-0.25093837206423447,1.6863451172829156,0.1625121986552534,18446744.07370955,797.73,-54.97287,2026-03-13 12:15:54
chainlink,LINK,Chainlink,9.3,6582711501,18,401859213.0,9.34,8.92,0.273697,0.13710923669093114,3.0333005047625194,2.3974865857361887,708099970.4525867,52.7,-82.35786,2026-03-13 12:15:54
ethena-usde,USDE,Ethena USDe,1.0,5925485590,19,100601760.0,1.001,0.999092,0.00103524,0.04464747756141311,0.10358592874537059,0.14038905311387703,5921211031.203968,1.034,-3.29341,2026-03-13 12:15:54
canton-network,CC,Canton,0.145725,5531548888,20,7202315.0,0.150363,0.145254,-0.004394296650649721,0.1657744946707315,-2.927212395290004,-6.045061229819529,38025568963.85598,0.194152,-25.07894,2026-03-13 12:15:54
