coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at
bitcoin,BTC,Bitcoin,71498.0,1430086740879,1,22620805334.0,71893.0,70540.0,957.24,0.005698765569738135,1.3570029963354875,6.319441033447275,20002434.0,126080.0,-43.29131,2026-03-15 15:47:21
ethereum,ETH,Ethereum,2094.12,252740911339,2,9268878797.0,2120.83,2072.34,20.58,0.07988695702445409,0.9922879945105418,7.7101145136344265,120691908.6940581,4946.05,-57.66063,2026-03-15 15:47:21
tether,USDT,Tether,1.0,184080810048,3,37759852878.0,1.0,0.999995,0.0002205,0.0002826664405684109,0.02204855109659417,0.030787402877904716,184032318235.7615,1.32,-24.40184,2026-03-15 15:47:21
binancecoin,BNB,BNB,660.21,90029173694,4,585721311.0,665.96,652.47,7.14,0.04079592581344755,1.0933670205349604,6.879779371850844,136357959.57,1369.99,-51.80952,2026-03-15 15:47:21
ripple,XRP,XRP,1.42,86850403935,5,1425896619.0,1.43,1.39,0.0284843,0.27625982806957317,2.04912154463252,5.1189212094907095,61227832454.0,3.65,-61.09679,2026-03-15 15:47:21
usd-coin,USDC,USDC,0.99999,79165786146,6,4435805033.0,1.0,0.999898,8.011e-05,0.008562609153609445,0.00801164887331551,0.008489847365927165,79166787206.62283,1.043,-4.17417,2026-03-15 15:47:21
solana,SOL,Solana,87.95,50249483763,7,1854614938.0,88.77,86.72,1.22,0.15886412562709915,1.408331506874988,7.21823102032893,571356141.5086343,293.31,-70.01558,2026-03-15 15:47:21
tron,TRX,TRON,0.298117,28243666532,8,368750820.0,0.298837,0.296103,0.00029495,0.11429143355131371,0.09903604191832999,3.7648855394105714,94749841963.59459,0.431288,-30.87748,2026-03-15 15:47:21
figure-heloc,FIGR_HELOC,Figure Heloc,1.003,15891025852,9,8050374.0,1.009,1.003,-0.006401700000000066,,-0.6343590176546825,-2.04745658207541,15847307884.197,1.049,-4.41894,2026-03-15 15:47:21
dogecoin,DOGE,Dogecoin,0.095116,14591618668,10,757046958.0,0.097094,0.094519,0.0003034,-0.34326474376835137,0.32000402939636424,7.288432888226561,153420256383.7052,0.731578,-86.99858,2026-03-15 15:47:21
whitebit,WBT,WhiteBIT Coin,55.75,11898013948,11,14176967.0,56.01,55.15,0.561465,0.19710959305044387,1.017352915960183,3.5732871819475167,213418274.0,64.11,-13.04588,2026-03-15 15:47:21
usds,USDS,USDS,0.999954,11257301027,12,12438054.0,1.001,0.998586,0.00012267,0.0038598204672134363,0.012269531039542881,-0.0015584958014389265,11256676476.66315,1.057,-5.41707,2026-03-15 15:47:21
cardano,ADA,Cardano,0.263946,9721234314,13,303301103.0,0.266322,0.258906,0.00352971,0.2560873374843704,1.3554069698545173,4.718138479148139,36833527390.06435,3.09,-91.4495,2026-03-15 15:47:21
bitcoin-cash,BCH,Bitcoin Cash,463.11,9265657860,14,146845995.0,469.08,461.29,1.82,0.03311728187461466,0.39391471817932217,3.348336187555043,20007703.02165078,3785.82,-87.76726,2026-03-15 15:47:21
hyperliquid,HYPE,Hyperliquid,37.32,8898434726,15,220059423.0,38.55,37.15,-0.5284282909526254,-0.2533496199891111,-1.3962984341047635,22.19560264930908,238385315.9541414,59.3,-37.07552,2026-03-15 15:47:21
leo-token,LEO,LEO Token,9.07,8352813113,16,763816.0,9.08,8.97,0.00422965,-0.03357122128357072,0.0466618769611675,0.4375538703083893,921134330.0,10.14,-10.50762,2026-03-15 15:47:21
monero,XMR,Monero,354.93,6549169227,17,73852778.0,359.64,351.59,-1.262113901888938,-0.08783583613971854,-0.3543387646327315,4.823276324216023,18446744.07370955,797.73,-55.50822,2026-03-15 15:47:21
chainlink,LINK,Chainlink,9.16,6484373165,18,249498971.0,9.31,8.98,0.181795,0.00865489258326604,2.0252529017617245,6.477056048045515,708099970.4525867,52.7,-82.62082,2026-03-15 15:47:21
ethena-usde,USDE,Ethena USDe,0.999853,5920283102,19,133590190.0,1.001,0.999021,-0.000356490242229612,-0.013071003649562894,-0.035641558574653724,0.06374061712773994,5921266701.696718,1.034,-3.3112,2026-03-15 15:47:21
canton-network,CC,Canton,0.151558,5767244509,20,5338085.0,0.153014,0.149146,0.00090036,-0.03322741577246018,0.597620095203227,-0.5716693431815231,38045042529.92879,0.194152,-21.9098,2026-03-15 15:47:21
stellar,XLM,Stellar,0.167379,5525636791,21,69245200.0,0.168568,0.163622,0.00373191,-0.194852256906864,2.280466310911842,12.09573623317021,33016933105.01952,0.875563,-80.87144,2026-03-15 15:47:21
