coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
whitebit,WBT,WhiteBIT Coin,55.65,11874329760,11,71672023.0,57.68,55.08,0.464525,-1.54,0.84,1.71,213418274.0,64.11,-12.90764,2026-03-13 18:32:30,0.4957,4.67,0.006,buy,-12.91,large_cap,near_low
usds,USDS,USDS,0.999904,11281749717,12,11654637.0,1.002,0.995151,-0.0001211891805786,0.0,-0.01,-0.0,11282821547.02752,1.057,-5.42996,2026-03-13 18:32:30,0.471,0.68,0.001,sell,-5.43,large_cap,mid_range
cardano,ADA,Cardano,0.266908,9830523561,13,628024677.0,0.280168,0.260782,0.00503382,-1.06,1.92,3.58,36833527390.06435,3.09,-91.35356,2026-03-13 18:32:30,0.4104,7.26,0.0639,buy,-91.35,mid_cap,mid_range
bitcoin-cash,BCH,Bitcoin Cash,463.54,9277286276,14,322633607.0,472.47,453.83,8.94,-0.23,1.97,3.43,20006831.14665078,3785.82,-87.75583,2026-03-13 18:32:30,0.3873,4.02,0.0348,buy,-87.76,mid_cap,mid_range
hyperliquid,HYPE,Hyperliquid,36.68,8743790647,15,438257155.0,38.37,36.14,-0.7880951959263314,0.26,-2.1,23.41,238385315.9541414,59.3,-38.14173,2026-03-13 18:32:30,0.365,6.08,0.0501,buy,-38.14,mid_cap,near_low
leo-token,LEO,LEO Token,9.06,8346066409,16,837571.0,9.1,8.92,-0.0018580633941205,-0.03,-0.02,0.2,921134330.9,10.14,-10.63901,2026-03-13 18:32:30,0.3484,1.99,0.0001,neutral,-10.64,mid_cap,near_high
monero,XMR,Monero,358.04,6599486757,17,89832363.0,361.27,349.63,5.27,0.93,1.49,4.51,18446744.07370955,797.73,-55.11811,2026-03-13 18:32:30,0.2755,3.25,0.0136,strong_buy,-55.12,mid_cap,mid_range
chainlink,LINK,Chainlink,9.14,6473256987,18,485376989.0,9.56,8.97,0.131455,-0.91,1.46,4.5,708099970.4525867,52.7,-82.65007,2026-03-13 18:32:30,0.2703,6.46,0.075,buy,-82.65,mid_cap,mid_range
ethena-usde,USDE,Ethena USDe,1.0,5922636163,19,135323135.0,1.001,0.999431,0.00017481,0.01,0.02,0.06,5921216023.678618,1.034,-3.27879,2026-03-13 18:32:30,0.2473,0.16,0.0228,strong_buy,-3.28,mid_cap,mid_range
canton-network,CC,Canton,0.151741,5765346686,20,10431834.0,0.152178,0.145254,0.00510602,0.18,3.48,-0.48,38027901008.98886,0.194152,-21.63555,2026-03-13 18:32:30,0.2407,4.56,0.0018,buy,-21.64,mid_cap,near_high
stellar,XLM,Stellar,0.162555,5359846516,21,95449493.0,0.16775,0.158839,0.00327367,-0.51,2.06,7.78,33004233685.76114,0.875563,-81.40373,2026-03-13 18:32:30,0.2238,5.48,0.0178,buy,-81.4,mid_cap,mid_range
usd1-wlfi,USD1,USD1,0.999027,4602978367,22,1713044002.0,1.001,0.998261,-0.0004791859524643,-0.02,-0.05,-0.05,4606424168.659401,1.025,-2.44592,2026-03-13 18:32:30,0.1922,0.27,0.3722,sell,-2.45,mid_cap,mid_range
dai,DAI,Dai,0.999871,4288584644,23,178428760.0,1.001,0.997854,2.985e-05,0.0,0.0,-0.01,4289120176.341581,1.22,-17.97091,2026-03-13 18:32:30,0.179,0.31,0.0416,sell,-17.97,mid_cap,mid_range
litecoin,LTC,Litecoin,55.32,4257891831,24,446169359.0,56.6,54.06,1.12,-0.55,2.06,3.69,76946189.48347135,410.26,-86.48507,2026-03-13 18:32:30,0.1778,4.59,0.1048,buy,-86.49,mid_cap,mid_range
rain,RAIN,Rain,0.00890456,4256858932,25,17729442.0,0.00920184,0.00887188,-0.0002393593997946,-0.67,-2.62,-2.57,478054079220.6675,0.01090099,-18.47095,2026-03-13 18:32:30,0.1777,3.71,0.0042,sell,-18.47,mid_cap,near_low
avalanche-2,AVAX,Avalanche,9.77,4213545759,26,429511122.0,10.25,9.54,0.198181,-0.68,2.07,9.51,431771961.1772119,144.96,-93.26282,2026-03-13 18:32:30,0.1759,7.27,0.1019,buy,-93.26,mid_cap,mid_range
hedera-hashgraph,HBAR,Hedera,0.095589,4133289987,27,99043842.0,0.09975,0.093777,0.0016988,-0.89,1.81,-1.04,43303421565.0591,0.569229,-83.21022,2026-03-13 18:32:30,0.1726,6.25,0.024,neutral,-83.21,mid_cap,mid_range
paypal-usd,PYUSD,PayPal USD,0.9993,4101619131,28,96556067.0,1.001,0.999227,-0.0008502200368061,-0.03,-0.09,-0.1,4101422204.609215,1.021,-2.0558,2026-03-13 18:32:30,0.1712,0.18,0.0235,sell,-2.06,mid_cap,near_low
sui,SUI,Sui,1.0,3895808373,29,780411736.0,1.049,0.972205,0.02619565,-0.27,2.69,11.8,3899984688.415443,5.35,-81.29092,2026-03-13 18:32:30,0.1626,7.68,0.2003,buy,-81.29,mid_cap,mid_range
zcash,ZEC,Zcash,213.59,3540678819,30,329015295.0,222.32,207.37,2.69,0.15,1.27,3.27,16598937.6655448,3191.93,-93.30856,2026-03-13 18:32:30,0.1478,7.0,0.0929,strong_buy,-93.31,mid_cap,mid_range
shiba-inu,SHIB,Shiba Inu,5.96e-06,3511381604,31,162526978.0,6.25e-06,5.86e-06,6.3621e-08,-0.83,1.08,11.57,589243712394947.5,8.616e-05,-93.08397,2026-03-13 18:32:30,0.1466,6.54,0.0463,buy,-93.08,mid_cap,mid_range
the-open-network,TON,Toncoin,1.32,3241556882,32,113572557.0,1.32,1.3,0.01067475,0.38,0.82,-0.34,2456169273.522563,8.25,-84.02955,2026-03-13 18:32:30,0.1353,1.52,0.035,buy,-84.03,mid_cap,near_high
crypto-com-chain,CRO,Cronos,0.076783,3152435571,33,10837482.0,0.078384,0.075294,0.00130395,-0.23,1.73,1.59,41100839162.70846,0.891544,-91.37991,2026-03-13 18:32:30,0.1316,4.02,0.0034,buy,-91.38,mid_cap,mid_range
world-liberty-financial,WLFI,World Liberty Financial,0.103594,2865516349,34,146382473.0,0.108868,0.100731,0.00245475,-1.18,2.43,4.32,27661728024.0,0.331336,-68.73456,2026-03-13 18:32:30,0.1196,7.85,0.0511,buy,-68.73,mid_cap,mid_range
tether-gold,XAUT,Tether Gold,5011.74,2829404325,35,350739592.0,5096.87,5003.83,-64.56677034061704,-0.32,-1.27,-1.96,564598.641692,5504.62,-8.9124,2026-03-13 18:32:30,0.1181,1.86,0.124,sell,-8.91,mid_cap,near_low
memecore,M,MemeCore,1.49,2604059062,36,9204138.0,1.51,1.43,0.02300997,0.08,1.57,-0.08,1745660245.102421,2.96,-49.54237,2026-03-13 18:32:30,0.1087,5.37,0.0035,buy,-49.54,mid_cap,near_high
uniswap,UNI,Uniswap,4.03,2549330253,37,253408665.0,4.2,3.89,0.127554,-1.21,3.27,4.87,633561603.6037512,44.92,-91.02593,2026-03-13 18:32:30,0.1064,7.69,0.0994,buy,-91.03,mid_cap,mid_range
pax-gold,PAXG,PAX Gold,5043.61,2523908911,38,427851286.0,5128.89,5038.81,-66.8285729985364,-0.34,-1.31,-2.07,500365.129,5619.09,-10.19162,2026-03-13 18:32:30,0.1054,1.79,0.1695,sell,-10.19,mid_cap,near_low
polkadot,DOT,Polkadot,1.48,2466997511,39,137967602.0,1.54,1.47,-0.0220139558224992,-1.64,-1.47,0.49,1673554555.120947,54.98,-97.30754,2026-03-13 18:32:30,0.103,4.73,0.0559,neutral,-97.31,mid_cap,near_low
mantle,MNT,Mantle,0.715572,2341253109,40,63474317.0,0.736441,0.711512,0.00036346,-0.67,0.05,5.56,3277944055.53684,2.86,-74.98464,2026-03-13 18:32:30,0.0977,3.48,0.0271,buy,-74.98,mid_cap,near_low
hashnote-usyc,USYC,Circle USYC,1.12,2310904537,41,99.62,,,,0.0,0.0,0.05,2064611344.873509,1.12,-0.00065,2026-03-13 18:32:30,0.0965,,0.0,neutral,-0.0,mid_cap,mid_range
bittensor,TAO,Bittensor,232.01,2225179146,42,345173024.0,249.2,211.13,19.2,-1.48,9.02,32.72,9597491.0,757.6,-69.41023,2026-03-13 18:32:30,0.0929,16.41,0.1551,buy,-69.41,mid_cap,mid_range
pi-network,PI,Pi Network,0.2296,2207906804,43,163646836.0,0.29691,0.227659,-0.027557538612752,-1.44,-10.72,16.17,9662291721.938557,2.99,-92.29384,2026-03-13 18:32:30,0.0922,30.16,0.0741,neutral,-92.29,mid_cap,near_low
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,1994935410,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1994935410.230449,1.0,0.0,2026-03-13 18:32:30,0.0833,0.0,0.0,sell,0.0,mid_cap,stable
okb,OKB,OKB,93.66,1965307762,45,36710384.0,96.41,92.92,-1.3626897219063068,0.37,-1.43,-2.02,21000000.0,228.74,-59.10815,2026-03-13 18:32:30,0.082,3.73,0.0187,neutral,-59.11,mid_cap,near_low
sky,SKY,Sky,0.080458,1854030851,46,18482872.0,0.084846,0.080278,-0.0002696400595398,-0.27,-0.33,11.5,23044916199.19267,0.100535,-19.95074,2026-03-13 18:32:30,0.0774,5.68,0.01,neutral,-19.95,mid_cap,near_low
global-dollar,USDG,Global Dollar,0.999945,1750428225,47,36919315.0,1.0,0.999856,-0.0001371443644049,-0.0,-0.01,-0.01,1750418666.460603,1.65,-39.55757,2026-03-13 18:32:30,0.0731,0.01,0.0211,sell,-39.56,mid_cap,mid_range
falcon-finance,USDF,Falcon USD,0.99802,1749672336,48,1358052.0,0.998776,0.996517,0.00070377,0.08,0.07,0.07,1753821967.036924,1.075,-7.15503,2026-03-13 18:32:30,0.073,0.23,0.0008,strong_buy,-7.16,mid_cap,mid_range
near,NEAR,NEAR Protocol,1.34,1733347821,49,347714548.0,1.42,1.33,0.00793257,-1.12,0.59,8.77,1290082215.0,20.44,-93.41275,2026-03-13 18:32:30,0.0724,6.72,0.2006,buy,-93.41,mid_cap,near_low
aster-2,ASTER,Aster,0.703095,1726703222,50,167559216.0,0.724616,0.700039,-0.0036679303640002,0.05,-0.52,1.66,2455859719.12999,2.41,-70.81061,2026-03-13 18:32:30,0.0721,3.5,0.097,buy,-70.81,mid_cap,near_low
