coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
bitcoin,BTC,Bitcoin,71225.0,1421132509701,1,63214497648.0,73839.0,69832.0,1196.47,-0.59,1.71,4.78,20001678.0,126080.0,-43.50801,2026-03-13 18:32:30,59.3305,5.63,0.0445,buy,-43.51,large_cap,mid_range
ethereum,ETH,Ethereum,2104.53,253242079811,2,30351522883.0,2200.03,2049.1,50.92,-0.79,2.48,6.76,120691953.6332311,4946.05,-57.45032,2026-03-13 18:32:30,10.5725,7.17,0.1199,buy,-57.45,large_cap,mid_range
tether,USDT,Tether,1.0,184000938205,3,101637136049.0,1.0,0.999899,0.00015788,0.0,0.02,0.0,183990520696.0076,1.32,-24.41436,2026-03-13 18:32:30,7.6818,0.01,0.5524,neutral,-24.41,large_cap,near_high
binancecoin,BNB,BNB,656.81,89510908126,4,1520305759.0,677.61,647.5,7.25,-0.48,1.12,4.53,136358117.26,1369.99,-52.05733,2026-03-13 18:32:30,3.737,4.58,0.017,buy,-52.06,large_cap,mid_range
ripple,XRP,XRP,1.4,85296351566,5,3399521901.0,1.45,1.37,0.01926099,-0.73,1.4,2.74,61227832454.0,3.65,-61.73289,2026-03-13 18:32:30,3.561,5.71,0.0399,buy,-61.73,large_cap,mid_range
usd-coin,USDC,USDC,0.999904,78891835451,6,6723768074.0,1.0,0.999837,-6.1228170764926e-05,-0.0,-0.01,-0.01,78899424058.0451,1.043,-4.17018,2026-03-13 18:32:30,3.2936,0.02,0.0852,sell,-4.17,large_cap,mid_range
solana,SOL,Solana,88.74,50589794281,7,5386772192.0,92.73,85.87,2.56,-0.97,2.97,4.87,571236391.9553769,293.31,-69.74681,2026-03-13 18:32:30,2.1121,7.73,0.1065,buy,-69.75,large_cap,mid_range
tron,TRX,TRON,0.291023,27572702362,8,415977490.0,0.290962,0.288606,0.00195564,0.2,0.68,1.9,94747191647.3918,0.431288,-32.52247,2026-03-13 18:32:30,1.1511,0.81,0.0151,strong_buy,-32.52,large_cap,near_high
figure-heloc,FIGR_HELOC,Figure Heloc,1.008,15956057431,9,1016155868.0,1.034,1.002,-0.0240585000000002,0.0,-2.33,-2.56,15826964792.467,1.049,-3.90443,2026-03-13 18:32:30,0.6661,3.17,0.0637,sell,-3.9,large_cap,near_low
dogecoin,DOGE,Dogecoin,0.096105,14719831806,10,1944958318.0,0.101365,0.093918,0.00195261,-0.76,2.07,6.47,153395386383.7052,0.731578,-86.86328,2026-03-13 18:32:30,0.6145,7.75,0.1321,buy,-86.86,large_cap,mid_range
