coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
bitcoin,BTC,Bitcoin,71745.0,1435733061818,1,22494516825.0,71893.0,70417.0,1210.74,0.19,1.72,6.58,20002318.0,126080.0,-43.09547,2026-03-15 09:50:44,59.4217,2.06,0.0157,strong_buy,-43.1,large_cap,near_high
ethereum,ETH,Ethereum,2115.74,255474688563,2,8716941624.0,2120.83,2063.26,47.4,0.22,2.29,8.0,120691908.6940581,4946.05,-57.2237,2026-03-15 09:50:44,10.5735,2.72,0.0341,strong_buy,-57.22,large_cap,near_high
tether,USDT,Tether,1.0,184046168890,3,36461950312.0,1.0,0.999995,6.069e-05,-0.0,0.01,0.02,184032318235.7615,1.32,-24.4134,2026-03-15 09:50:44,7.6172,0.0,0.1981,buy,-24.41,large_cap,near_high
binancecoin,BNB,BNB,663.28,90472851284,4,551015057.0,665.96,650.42,11.98,-0.0,1.84,7.0,136358048.05,1369.99,-51.58542,2026-03-15 09:50:44,3.7445,2.34,0.0061,buy,-51.59,large_cap,near_high
ripple,XRP,XRP,1.42,86689012395,5,1250343427.0,1.42,1.39,0.02289253,0.28,1.64,4.13,61227832454.0,3.65,-61.17235,2026-03-15 09:50:44,3.5879,2.11,0.0144,strong_buy,-61.17,large_cap,near_high
usd-coin,USDC,USDC,1.0,79176559538,6,2230699838.0,1.0,0.999898,7.877e-05,0.01,0.01,0.01,79176580844.76965,1.043,-4.17239,2026-03-15 09:50:44,3.2769,0.01,0.0282,strong_buy,-4.17,large_cap,near_high
solana,SOL,Solana,88.53,50593707390,7,1876277266.0,88.77,86.63,1.55,0.15,1.78,6.79,571356474.1328514,293.31,-69.81576,2026-03-15 09:50:44,2.094,2.42,0.0371,strong_buy,-69.82,large_cap,near_high
tron,TRX,TRON,0.297132,28155079777,8,442224278.0,0.298837,0.293694,0.00327557,0.07,1.11,3.71,94748369563.817,0.431288,-31.10584,2026-03-15 09:50:44,1.1653,1.73,0.0157,strong_buy,-31.11,large_cap,mid_range
figure-heloc,FIGR_HELOC,Figure Heloc,1.003,15894484690,9,8050374.0,1.022,1.003,-0.0196118999999999,0.0,-1.92,-2.05,15850757205.897,1.049,-4.41894,2026-03-15 09:50:44,0.6578,1.89,0.0005,sell,-4.42,large_cap,near_low
dogecoin,DOGE,Dogecoin,0.096326,14780569108,10,761235651.0,0.097094,0.094151,0.00187033,0.07,1.98,7.92,153416556383.7052,0.731578,-86.83313,2026-03-15 09:50:44,0.6117,3.06,0.0515,strong_buy,-86.83,large_cap,mid_range
whitebit,WBT,WhiteBIT Coin,55.93,11937852359,11,21301160.0,56.01,55.09,0.736175,0.27,1.33,3.92,213418274.0,64.11,-12.69746,2026-03-15 09:50:44,0.4941,1.64,0.0018,strong_buy,-12.7,large_cap,near_high
usds,USDS,USDS,0.999893,11261850780,12,12671453.0,1.001,0.999373,-3.8716188706212e-05,-0.01,-0.0,-0.01,11262721313.94858,1.057,-5.43445,2026-03-15 09:50:44,0.4661,0.16,0.0011,sell,-5.43,large_cap,mid_range
cardano,ADA,Cardano,0.265246,9772485834,13,323188607.0,0.266322,0.258906,0.0047024,-0.06,1.8,5.1,36833527390.06435,3.09,-91.40739,2026-03-15 09:50:44,0.4045,2.8,0.0331,buy,-91.41,mid_cap,near_high
bitcoin-cash,BCH,Bitcoin Cash,466.62,9337513276,14,158694844.0,469.08,454.66,9.19,-0.26,2.01,3.72,20007549.89665078,3785.82,-87.67453,2026-03-15 09:50:44,0.3865,3.09,0.017,buy,-87.67,mid_cap,near_high
hyperliquid,HYPE,Hyperliquid,37.26,8883694686,15,248811206.0,38.55,36.68,0.322474,0.06,0.87,23.1,238385315.9541414,59.3,-37.16975,2026-03-15 09:50:44,0.3677,5.02,0.028,strong_buy,-37.17,mid_cap,mid_range
leo-token,LEO,LEO Token,9.08,8359479506,16,632425.0,9.08,8.97,0.00851153,0.03,0.09,0.45,921134330.0,10.14,-10.46319,2026-03-15 09:50:44,0.346,1.21,0.0001,strong_buy,-10.46,mid_cap,near_high
monero,XMR,Monero,356.33,6565853976,17,83929464.0,361.89,351.59,-2.8915524812293825,-0.02,-0.8,4.27,18446744.07370955,797.73,-55.33274,2026-03-15 09:50:44,0.2717,2.89,0.0128,neutral,-55.33,mid_cap,mid_range
chainlink,LINK,Chainlink,9.27,6565395464,18,238273348.0,9.31,8.93,0.311014,0.26,3.47,7.37,708099970.4525867,52.7,-82.40664,2026-03-15 09:50:44,0.2717,4.1,0.0363,strong_buy,-82.41,mid_cap,near_high
ethena-usde,USDE,Ethena USDe,0.999906,5919810835,19,78366252.0,1.001,0.999201,-0.0002492257637406,-0.01,-0.02,0.07,5921266701.696718,1.034,-3.31944,2026-03-15 09:50:44,0.245,0.18,0.0132,neutral,-3.32,mid_cap,mid_range
canton-network,CC,Canton,0.152681,5808685377,20,5991073.0,0.153912,0.149146,-0.0012308297732405,0.76,-0.8,0.03,38043145899.27383,0.194152,-21.35327,2026-03-15 09:50:44,0.2404,3.12,0.001,buy,-21.35,mid_cap,mid_range
stellar,XLM,Stellar,0.167573,5535678550,21,66418078.0,0.168527,0.162406,0.0044297,0.76,2.72,11.8,33016934290.50267,0.875563,-80.83887,2026-03-15 09:50:44,0.2291,3.65,0.012,strong_buy,-80.84,mid_cap,near_high
usd1-wlfi,USD1,USD1,0.999345,4585239224,22,592704658.0,0.999756,0.998884,7.492e-05,0.0,0.01,-0.03,4588939177.304013,1.025,-2.46693,2026-03-15 09:50:44,0.1898,0.09,0.1293,neutral,-2.47,mid_cap,mid_range
rain,RAIN,Rain,0.00908475,4343159868,23,19199539.0,0.00909209,0.00886663,0.0001919,1.36,2.16,1.49,478058829326.45526,0.01090099,-16.64531,2026-03-15 09:50:44,0.1798,2.48,0.0044,strong_buy,-16.65,mid_cap,near_high
dai,DAI,Dai,0.999885,4296042779,24,138696067.0,1.0,0.999663,-3.484860338987e-05,-0.01,-0.0,-0.02,4296524045.540943,1.22,-17.96118,2026-03-15 09:50:44,0.1778,0.03,0.0323,sell,-17.96,mid_cap,mid_range
litecoin,LTC,Litecoin,55.41,4264474622,25,222696796.0,55.52,54.43,0.798321,0.24,1.46,4.26,76950895.73347135,410.26,-86.48793,2026-03-15 09:50:44,0.1765,1.97,0.0522,strong_buy,-86.49,mid_cap,near_high
avalanche-2,AVAX,Avalanche,9.84,4252107016,26,179893393.0,9.85,9.54,0.262478,0.66,2.74,10.72,431771961.1772119,144.96,-93.20378,2026-03-15 09:50:44,0.176,3.15,0.0423,strong_buy,-93.2,mid_cap,near_high
hedera-hashgraph,HBAR,Hedera,0.096269,4171169904,27,90684138.0,0.096395,0.091425,0.00337927,0.4,3.64,1.3,43303421565.14299,0.569229,-83.07071,2026-03-15 09:50:44,0.1726,5.16,0.0217,strong_buy,-83.07,mid_cap,near_high
paypal-usd,PYUSD,PayPal USD,1.0,4131572616,28,32421419.0,1.001,0.999391,0.0003304,0.03,0.03,0.02,4130893285.065583,1.021,-2.02461,2026-03-15 09:50:44,0.171,0.16,0.0078,strong_buy,-2.02,mid_cap,mid_range
sui,SUI,Sui,1.004,3916015107,29,292586862.0,1.015,0.980433,0.01689556,0.15,1.71,12.11,3899984688.415443,5.35,-81.22976,2026-03-15 09:50:44,0.1621,3.44,0.0747,strong_buy,-81.23,mid_cap,mid_range
