coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
zcash,ZEC,Zcash,225.1,3748890764,30,290764150.0,229.02,206.9,17.93,-1.11,8.65,14.94,16602670.4780448,3191.93,-92.94773,2026-03-15 09:50:44,0.1552,9.83,0.0776,buy,-92.95,mid_cap,near_high
shiba-inu,SHIB,Shiba Inu,5.85e-06,3447437030,31,76098024.0,5.95e-06,5.82e-06,-2.7723455243e-08,0.21,-0.47,10.41,589243705802168.2,8.616e-05,-93.21028,2026-03-15 09:50:44,0.1427,2.22,0.0221,buy,-93.21,mid_cap,near_low
crypto-com-chain,CRO,Cronos,0.077519,3186682260,32,8386983.0,0.078097,0.076724,0.00068318,0.01,0.89,3.85,41105134276.36118,0.891544,-91.29976,2026-03-15 09:50:44,0.1319,1.77,0.0026,strong_buy,-91.3,mid_cap,mid_range
the-open-network,TON,Toncoin,1.29,3175081361,33,76776973.0,1.31,1.29,-0.0075453693991285,-0.02,-0.58,-2.01,2457168437.191727,8.25,-84.34157,2026-03-15 09:50:44,0.1314,1.55,0.0242,sell,-84.34,mid_cap,near_low
world-liberty-financial,WLFI,World Liberty Financial,0.104069,2878704078,34,46269891.0,0.104995,0.103081,0.00072038,0.24,0.7,8.14,27661789001.0,0.331336,-68.59103,2026-03-15 09:50:44,0.1191,1.84,0.0161,strong_buy,-68.59,mid_cap,mid_range
tether-gold,XAUT,Tether Gold,4978.23,2811275847,35,115290389.0,4998.78,4980.22,-19.920604288574395,-0.24,-0.4,-3.24,564598.641692,5504.62,-9.49489,2026-03-15 09:50:44,0.1164,0.37,0.041,sell,-9.49,mid_cap,near_low
bittensor,TAO,Bittensor,267.44,2566814601,36,310802933.0,270.95,233.86,31.81,1.34,13.5,50.79,9597491.0,757.6,-64.49868,2026-03-15 09:50:44,0.1062,13.87,0.1211,strong_buy,-64.5,mid_cap,near_high
mantle,MNT,Mantle,0.778937,2553292303,37,101788999.0,0.80454,0.71299,0.06417,-0.26,8.98,16.65,3277944055.53684,2.86,-72.70063,2026-03-15 09:50:44,0.1057,11.75,0.0399,buy,-72.7,mid_cap,mid_range
memecore,M,MemeCore,1.46,2546824069,38,7031495.0,1.54,1.46,-0.0722304171470407,-1.0,-4.72,-4.46,1746276308.126611,2.96,-50.68934,2026-03-15 09:50:44,0.1054,5.48,0.0028,sell,-50.69,mid_cap,near_low
uniswap,UNI,Uniswap,3.96,2510307784,39,135525042.0,3.98,3.91,0.02600813,0.06,0.66,6.34,633561603.6037512,44.92,-91.169,2026-03-15 09:50:44,0.1039,1.77,0.054,strong_buy,-91.17,mid_cap,mid_range
pax-gold,PAXG,PAX Gold,5008.42,2505945135,40,82595442.0,5032.94,5008.89,-23.636683824530337,-0.16,-0.47,-3.28,500365.129,5619.09,-10.82439,2026-03-15 09:50:44,0.1037,0.48,0.033,sell,-10.82,mid_cap,near_low
polkadot,DOT,Polkadot,1.42,2379271789,41,103774780.0,1.44,1.4,-0.0118768813272596,0.24,-0.83,-1.62,1673554555.120947,54.98,-97.41371,2026-03-15 09:50:44,0.0985,2.82,0.0436,neutral,-97.41,mid_cap,mid_range
hashnote-usyc,USYC,Circle USYC,1.12,2310904537,42,99.62,,,,0.0,0.0,0.05,2064611344.873509,1.12,-0.00065,2026-03-15 09:50:44,0.0956,,0.0,neutral,-0.0,mid_cap,mid_range
okb,OKB,OKB,96.64,2029637181,43,29521600.0,97.29,93.47,3.08,-0.18,3.3,-2.23,21000000.0,228.74,-57.70738,2026-03-15 09:50:44,0.084,3.95,0.0145,neutral,-57.71,mid_cap,near_high
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,1995324276,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1995324276.380449,1.0,0.0,2026-03-15 09:50:44,0.0826,0.0,0.0,sell,0.0,mid_cap,stable
pi-network,PI,Pi Network,0.1926,1867888412,45,66400480.0,0.209468,0.190302,-0.0141007294733505,0.39,-6.82,-4.62,9693704843.974491,2.99,-93.53915,2026-03-15 09:50:44,0.0773,9.95,0.0355,neutral,-93.54,mid_cap,near_low
global-dollar,USDG,Global Dollar,1.0,1767488717,46,15212708.0,1.0,0.99979,-1.1955745162329e-05,-0.01,-0.0,0.0,1767418666.432843,1.65,-39.55792,2026-03-15 09:50:44,0.0732,0.02,0.0086,sell,-39.56,mid_cap,near_high
aster-2,ASTER,Aster,0.714662,1756339093,47,115021349.0,0.718891,0.693107,0.01927259,-0.14,2.77,3.97,2455859719.12999,2.41,-70.33041,2026-03-15 09:50:44,0.0727,3.61,0.0655,buy,-70.33,mid_cap,near_high
falcon-finance,USDF,Falcon USD,0.997087,1748793958,48,648827.0,0.99837,0.996123,0.00063394,-0.07,0.06,-0.03,1753635310.587523,1.075,-7.21354,2026-03-15 09:50:44,0.0724,0.23,0.0004,neutral,-7.21,mid_cap,mid_range
near,NEAR,NEAR Protocol,1.35,1745088339,49,125964374.0,1.37,1.3,0.03904648,0.7,2.98,12.38,1290238758.0,20.44,-93.36496,2026-03-15 09:50:44,0.0722,5.19,0.0722,strong_buy,-93.36,mid_cap,mid_range
sky,SKY,Sky,0.074624,1720094074,50,14582045.0,0.076814,0.072142,-0.00218915733992,-0.84,-2.85,3.82,23041665686.29666,0.100535,-25.60673,2026-03-15 09:50:44,0.0712,6.26,0.0085,neutral,-25.61,mid_cap,mid_range
